country,totalSites,name,surface_total,surface_oneKM,surface_tenKM,water_m250,water_m500,water_oneKM,people_tenKM,people_oneKM,people_fiveKM,indexYear,kgPerCaptia,rank,topProducer_1,topProducer_1_value,topProducer_2,topProducer_2_value,topProducer_3,topProducer_3_value,topProducer_4,topProducer_4_value,topProducer_5,topProducer_5_value
Sudan,2,SUDAN,13544.39556492276,1.0,1.0,0.0,0.0,1.0,189635.0,5877.0,79092.0,2021,1.254381843555369,94,China National Petroleum Corp,3.261819273104864,China Petroleum & Chemical Corp,2.441105683053838,Khartoum Petrochemical Company,3.261819273104864,PetroChina Co Ltd,2.74636952329644,Saudi Arabian Oil Co,11.171140441649092
Suriname,1,SURINAME,5219.289885843583,1.0,0.0,0.0,1.0,1.0,72104.0,657.0,14882.0,2021,2.1705068978015096,147,Chevron Corp,0.1163757879141194,Exxon Mobil Corp,0.14171185889876836,INEOS LIMITED,0.1471108074027614,LyondellBasell Industries NV,0.16132233904943033,Phillips 66,0.1163757879141194
Swaziland,0,SWAZILAND,,,,,,,,,,2021,3.8213071230041766,134,KAP Industrial Holdings Ltd,0.4395918583437204,Sasol Ltd,3.902142903049518,,,,,,
Sweden,0,SWEDEN,,,,,,,,,,2021,31.61435795201239,45,BOREALIS AG,23.49439198957721,Dow Inc,19.047106039467042,Indorama Ventures PCL,18.38234979001445,LyondellBasell Industries NV,23.592149742805784,Saudi Arabian Oil Co,19.8692060691232
Switzerland,0,SWITZERLAND,,,,,,,,,,2021,53.06507028138072,37,Dow Inc,26.16316440912508,Exxon Mobil Corp,23.160583238991983,Indorama Ventures PCL,30.36002700454597,LyondellBasell Industries NV,32.24989355831492,Saudi Arabian Oil Co,29.78840961087833
Syria,1,SYRIA,2427.121602304938,1.0,0.0,1.0,1.0,1.0,82907.0,659.0,20115.0,2021,1.0409424567205436,116,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,2.128939713305679,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",2.629866704671721,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",1.5027809740981264,Sidi Kerir Petrochemicals Co,1.2486073043393648,Zhejiang Wankai New Materials Co. Ltd,1.5653968480188816
Taiwan,46,TAIWAN (TERRITORY),74646.58329623577,17.0,0.0,26.0,41.0,45.0,12000652.0,101246.0,3293353.0,2021,188.87940684109583,38,China Petroleum & Chemical Corp,28.718229749664815,Far Eastern New Century Corp,51.7102921572387,Lotte Chemical Corp,15.510667424967089,PetroChina Co Ltd,21.774143735822438,Shinkong Synthetic Fibers Corp,20.421257668415358
Tajikistan,0,TAJIKISTAN,,,,,,,,,,2021,0.6987269412692478,130,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,0.9182706838818384,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",1.1343343742069767,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",0.6481910709754154,Rongsheng Petro Chemical Co Lt,0.41288883288160017,Zhejiang Wankai New Materials Co. Ltd,0.6751990322660576
Tanzania,10,TANZANIA,81393.99332447654,6.0,2.0,2.0,3.0,8.0,10839465.0,145570.0,3091845.0,2021,1.851195122401355,76,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,3.687099934252002,Indorama Ventures PCL,5.163729838749724,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",4.554652859958354,Reliance Industries Ltd,10.059901960037177,Saudi Arabian Oil Co,13.057609285706691
Thailand,158,THAILAND,507528.45690147177,73.0,13.0,21.0,49.0,84.0,17478737.0,196761.0,5073473.0,2021,18.079869374495686,18,Dow Inc,50.01498082255405,Exxon Mobil Corp,59.254648488017956,Indorama Ventures PCL,99.19092049630693,PTT PCL,199.62227693727309,Siam Cement PCL/The,125.99923077244557
Togo,7,TOGO,4958.397608004907,2.0,0.0,2.0,3.0,3.0,8455598.0,139274.0,2854591.0,2021,3.2964499112574863,107,Exxon Mobil Corp,2.6023432674255695,QATAR PETROCHEMICAL CO QAPCO,1.6837741724457969,QATAR PETROLEUM,1.7640138313162428,Sasol Ltd,1.7798931776000824,Saudi Arabian Oil Co,4.290929055092693
Trinidad and Tobago,4,TRINIDAD AND TOBAGO,7726.738307666057,3.0,0.0,0.0,0.0,3.0,512668.0,7417.0,174981.0,2021,15.039003552897167,111,Dow Inc,1.2693964139336564,Far Eastern New Century Corp,1.466056762277511,Indorama Ventures PCL,2.27670330682875,PETROLEOS MEXICANOS,2.2486909759812965,Reliance Industries Ltd,1.863032064284053
Tunisia,3,TUNISIA,7098.24936341974,2.0,0.0,2.0,2.0,2.0,136026.0,4320.0,84726.0,2021,9.362263882930801,74,Dow Inc,4.642673011304941,Exxon Mobil Corp,5.302231017497696,Indorama Ventures PCL,5.064721691375128,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",5.5052172875876,Saudi Arabian Oil Co,21.296284997166307
Turkey,73,TURKEY,726422.3697058053,48.0,23.0,10.0,16.0,32.0,4844501.0,56491.0,1633173.0,2021,14.980916233396252,19,Exxon Mobil Corp,52.29547067388783,Indorama Ventures PCL,109.5710174105389,KOKSAN PET VE PLASTIK AMBALAJ SANAYI VE TICARET ANONIM SIRKETI,80.28752821479496,LyondellBasell Industries NV,59.87079376279766,Saudi Arabian Oil Co,101.43675421826106
Turkmenistan,0,TURKMENISTAN,,,,,,,,,,2021,7.905888012626075,98,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,0.8805868742932162,JAM PETROCHEMICAL PUBLIC JOINT STOCK COMPANY,0.878924329011753,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",1.08778378589162,Turkmengaz,22.783618437441273,Turkmenneftegaz,14.059608273239807
Uganda,1,UGANDA,24697.122904951964,0.0,1.0,1.0,1.0,1.0,1473541.0,11441.0,394718.0,2021,0.464090676614612,114,QATAR PETROCHEMICAL CO QAPCO,1.5485653536315895,QATAR PETROLEUM,1.627486136767617,Reliance Industries Ltd,1.4864334505582555,Sasol Ltd,1.5264004711454864,Saudi Arabian Oil Co,2.0734988475545886
Ukraine,0,UKRAINE,,,,,,,,,,2021,9.77896018142272,40,Dow Inc,18.633933318097633,Indorama Ventures PCL,28.526343228961146,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",17.630225109378085,Saudi Arabian Oil Co,31.544628641598862,UAB NEO GROUP,32.936648776024725
United Arab Emirates,0,UNITED ARAB EMIRATES,,,,,,,,,,2021,52.4818613797656,34,BOREALIS AG,22.433051051887198,Exxon Mobil Corp,23.514979804044362,OCTAL PETROCHEMICALS FZC,28.056205955993114,Reliance Industries Ltd,45.43080173350481,Saudi Arabian Oil Co,32.906955828305165
United Kingdom,0,UNITED KINGDOM,,,,,,,,,,2021,43.52759184307333,5,Dow Inc,202.19020598336502,Exxon Mobil Corp,178.48144493924252,INEOS LIMITED,187.7771614057034,LyondellBasell Industries NV,218.3001333345785,Saudi Arabian Oil Co,216.62548700143293
United States,71,UNITED STATES,121128.25871157696,37.0,1.0,20.0,34.0,53.0,7820283.0,40880.0,1940368.0,2021,52.62607384130455,2,Alpek SAB de CV,1315.2401484642744,Dow Inc,1809.1692826579315,Exxon Mobil Corp,1710.6792676220718,Indorama Ventures PCL,1083.3011039281307,LyondellBasell Industries NV,1083.2180718186237
Uruguay,16,URUGUAY,145056.00852921235,7.0,7.0,2.0,6.0,10.0,1941284.0,12579.0,628276.0,2021,25.325537383320246,81,Alpek SAB de CV,14.708136860327167,Braskem SA,9.052612677365083,Indorama Ventures PCL,20.295513263347182,OCTAL PETROCHEMICALS FZC,8.328,Reliance Industries Ltd,7.041218086231044
Uzbekistan,0,UZBEKISTAN,,,,,,,,,,2021,4.434539022435799,65,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,9.348593516436381,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",11.548262579127293,Lotte Chemical Corp,9.95560586712508,O'ZBEKNEFTEGAZ,41.130920656074466,UZ-KOR GAS CHEMICAL LLC,7.5446799149322
Venezuela,50,VENEZUELA,318250.0504224383,25.0,12.0,6.0,9.0,22.0,11433354.0,188207.0,3555757.0,2021,3.793293691585622,72,Alpek SAB de CV,3.6852452577326043,Dow Inc,3.978112661619344,Indorama Ventures PCL,5.791001447427976,PETROQUIMICA DE VENEZUELA SA,25.740147142097065,POLIOLEFINAS INTERNACIONALES C.A.,58.288707720542234
Vietnam,198,VIETNAM,361423.3218648052,100.0,3.0,36.0,66.0,107.0,37625787.0,358587.0,9991153.0,2021,19.8579174309589,12,China Petroleum & Chemical Corp,97.56761867620729,Exxon Mobil Corp,95.22653189493698,Far Eastern New Century Corp,92.31342043018009,Lotte Chemical Corp,123.34744120857869,PTT PCL,97.98305922563978
Yemen,7,YEMEN,13178.363694193315,5.0,0.0,0.0,0.0,0.0,1020959.0,20395.0,364367.0,2021,2.9516726651970666,83,Dow Inc,3.008773847484873,EASTERN PETROCHEMICAL COMPANY,4.603577123966201,Exxon Mobil Corp,6.8785747873169605,National Petrochemical Co,3.4380338799877466,Saudi Arabian Oil Co,25.504291922646136
Zambia,0,ZAMBIA,,,,,,,,,,2021,1.3891869198954336,109,Indorama Ventures PCL,0.6284566137164614,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",0.5334305174632472,KAP Industrial Holdings Ltd,4.192184093614638,Reliance Industries Ltd,1.2551760207565932,Sasol Ltd,10.593329275893211
Zimbabwe,2,ZIMBABWE,1772.5203893487342,1.0,0.0,1.0,1.0,1.0,503998.0,4584.0,140369.0,2021,1.1879301386717456,117,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,0.26740907963168525,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",0.33032886307443465,KAP Industrial Holdings Ltd,4.815630978604887,Sasol Ltd,10.414101388212478,Zhejiang Wankai New Materials Co. Ltd,0.19662432325859205
