country,totalSites,name,surface_total,surface_oneKM,surface_tenKM,water_m250,water_m500,water_oneKM,people_tenKM,people_oneKM,people_fiveKM,indexYear,kgPerCaptia,rank,topProducer_1,topProducer_1_value,topProducer_2,topProducer_2_value,topProducer_3,topProducer_3_value,topProducer_4,topProducer_4_value,topProducer_5,topProducer_5_value
Israel,3,ISRAEL,19628.602205549993,3.0,0.0,0.0,1.0,3.0,432458.0,2264.0,125106.0,2021,52.11682044297767,36,Dow Inc,26.40965857402356,Exxon Mobil Corp,27.468147556768447,Oil Refineries Ltd,44.59691609570375,Reliance Industries Ltd,31.33802957107213,Saudi Arabian Oil Co,22.641565128446818
Italy,11,ITALY,30585.814055263334,6.0,1.0,4.0,6.0,7.0,824381.0,3588.0,219821.0,2021,23.00156562524113,16,BOREALIS AG,72.76626732314092,Dow Inc,76.60470252363193,Indorama Ventures PCL,98.97962638696825,LyondellBasell Industries NV,90.22240410253266,Saudi Arabian Oil Co,93.18234128813853
Jamaica,8,JAMAICA,14247.640108410835,6.0,0.0,3.0,4.0,4.0,1298605.0,24457.0,516868.0,2021,0.7785442350446142,141,Chevron Corp,0.23518908858809584,Exxon Mobil Corp,0.31258184443202364,INEOS LIMITED,0.3004726126312856,LyondellBasell Industries NV,0.34854509163105635,Phillips 66,0.23518908858809584
Japan,58,JAPAN,46009.971548491245,17.0,0.0,26.0,44.0,58.0,12632693.0,94175.0,3123293.0,2021,37.23197236332504,4,Exxon Mobil Corp,154.86727819927623,Far Eastern New Century Corp,240.5149173831695,Mitsubishi Chemical Holdings C,442.07776652287106,Mitsui Chemicals Inc,300.4015194034754,Sumitomo Chemical Co Ltd,215.01654577293309
Jordan,1,JORDAN,658.5603812334365,0.0,0.0,0.0,0.0,1.0,10396.0,182.0,5200.0,2021,6.577232854998282,88,Dow Inc,4.0181047019083715,National Industrialization Co,3.8953003508524437,Sahara International Petrochem,5.708385134699451,Saudi Arabian Oil Co,14.490061920725726,Saudi Kayan Petrochemical Co,3.988257546055051
Kazakhstan,0,KAZAKHSTAN,,,,,,,,,,2021,9.877707200455363,61,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,10.582020207539534,China Petroleum & Chemical Corp,7.792457775940171,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",13.071907315195896,NATIONAL COMPANY KAZMUNAYGAZ JSC,9.610530027307677,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,18.94409152992524
Kenya,15,KENYA,26179.629451739936,4.0,1.0,6.0,7.0,8.0,21052786.0,527895.0,8479317.0,2021,4.472980850552894,54,ABU DHABI NATIONAL OIL COMPANY (ADNOC),11.58497236626935,BOREALIS AG,11.58497236626935,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",11.768349992850924,Reliance Industries Ltd,18.250949836844825,Saudi Arabian Oil Co,25.33100647188087
Kuwait,0,KUWAIT,,,,,,,,,,2021,40.56853265221653,62,Dow Inc,12.81549378809848,EQUATE FOR PETROCHEMICALS COMPANY KSC (CLOSED),8.995936526994521,Exxon Mobil Corp,7.40366319846124,OCTAL PETROCHEMICALS FZC,19.595521642304995,Saudi Arabian Oil Co,16.762800158200797
Kyrgyzstan,0,KYRGYZSTAN,,,,,,,,,,2021,3.284633170403003,113,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,2.3783427137899213,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",2.9379527640934318,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",1.6788301509105328,MOGILEVKHIMVOLOKNO OAO,2.007,Zhejiang Wankai New Materials Co. Ltd,1.7487814071984715
Laos,17,LAOS,77737.82463065058,6.0,3.0,1.0,2.0,2.0,643349.0,6752.0,173337.0,2021,1.5791282557143305,125,Dow Inc,1.1953750326277057,Indorama Ventures PCL,1.407659605877227,PTT PCL,2.656494854233634,Shinkong Synthetic Fibers Corp,0.5838368971379526,Siam Cement PCL/The,2.162221792937358
